Type,Size,Algorithm,AvgTime
Random,1000,Insertion,922.367
Random,1000,Shell,345.366
Random,1000,Quick,113.149
Random,4000,Insertion,1514.795
Random,4000,Shell,511.949
Random,4000,Quick,275.212
Random,6000,Insertion,3381.191
Random,6000,Shell,765.112
Random,6000,Quick,417.695
Sorted,1000,Insertion,2.087
Sorted,1000,Shell,15.787
Sorted,1000,Quick,477.116
Sorted,4000,Insertion,8.466
Sorted,4000,Shell,84.904
Sorted,4000,Quick,7378.062
Sorted,6000,Insertion,11.433
Sorted,6000,Shell,135.02
Sorted,6000,Quick,15092.345
Search,100,Sequential,1045.7
Search,100,Binary,633.3
Search,200,Sequential,1425.1
Search,200,Binary,479.4
Search,300,Sequential,2154.2
Search,300,Binary,454.1
Search,400,Sequential,2824.9
Search,400,Binary,541.8
Search,500,Sequential,2795.7
Search,500,Binary,520.9
